Name,Description
Liquidity Group Identifier,Unique identifier for each defined liquidity group in the system
Liquidity Group Timestamps,Timestamps indicating when liquidity groups were created or updated
Account Classification,Categorization of accounts based on their type or purpose
Collateral Type,"Type of collateral pledged for derivatives transactions, either cash or non-cash assets"
Client Netting Group,Grouping of clients for netting purposes in derivatives transactions
Client Rehypothecation,Indicates whether a client's collateral has been rehypothecated by the firm
Collateral Relationship Identifier,Unique identifier for each collateral relationship in the derivatives portfolio
Derivatives Collateral Default Setting,Indicates whether a specific collateral asset for a derivatives transaction has been marked as defaulted
Division for Derivatives Collateral,Division within the organization responsible for managing collateral related to derivatives transactions
Derivatives Collateral Expiration Date,The date when the collateral provided for a derivatives transaction expires
Collateral Transaction Timestamps,Records the date and time when a collateral transaction occurred or when it was last updated
Derivatives Collateral Flag,Indicator of whether a specific collateral is related to a derivatives transaction
Derivatives Collateral Flow Indicator,Indicator for the flow of collateral related to derivatives transactions
Derivatives Collateral Allocation,The allocation of collateral for derivatives transactions
Unique Security Identifier,"A unique alphanumeric code used to identify specific financial instruments, such as securities or derivatives, in the system"
Derivatives Collateral Group,A group of collateral assets used to back up derivatives transactions
Market Value of Collateral,The current market value of the collateral associated with derivatives transactions
Rehypothecation Status,Indicates whether the collateral has been rehypothecated by Morgan Stanley
Maximum Collateral Amount,The highest amount of collateral that can be pledged for derivatives transactions
Netting Identifier,Unique identifier for netting transactions in derivatives collateral management
Derivatives Collateral Values,The current market value of collateral associated with derivatives transactions
Primary Account Identifier,Unique identifier for the primary account associated with a derivatives transaction
Derivatives Collateral Amount,The amount of collateral associated with derivatives transactions
Risk Assessment and Monitoring,"Risk status of the derivatives collateral, indicating the level of risk associated with the collateral"
